web-scraper-order,web-scraper-start-url,name,price,country_raw,quantity,value,country,name_raw_len,bio,non_alcoholic,premium,wine_category,price_category,quantity_in_cl,price_per_10cl,country_code
1734709741-67,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,BLU SECCO DOSE VINO FRIZZANTE 6X20CL,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,IT
1734709741-68,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,TOSCANA IGT ROSSO VILLA ANTINORI,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,IT
1734709741-69,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,TERRE SICILIANE IGT NERO D'AVOLA BROMEUS,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,IT
1734709741-70,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,LA CÔTE AOC GRAND CRU PERROY CUVÉE 48 CAVE DE JOLIMONT 6X  70CL,41.7,"Schweiz, 2023",6x 70cl,0.99/10cl,Schweiz,63,0,0,1,UNCATEGORIZED,Premium,6,0.99,CH
1734709741-71,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,LAVAUX AOC ST-SAPHORIN LA DONJANNAZ LES TERRASSES DE LAVAUX,14.95,"Schweiz, 2023",70cl,2.14/10cl,Schweiz,59,0,0,0,UNCATEGORIZED,Mid-Range,70,2.14,CH
1734709741-72,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,ALSACE AOP GEWÜRZTRAMINER BARON DE HOEN BEBLENHEIM,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FR
1734709741-73,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,VALAIS AOC DÔLE BLANCHE LES BERNADETTES,9.3,"Schweiz, 2023",75cl,1.24/10cl,Schweiz,39,0,0,0,WEISSWEIN,Budget,75,1.24,CH
1734709741-74,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,DOURO DOC FABELHAFT NIEPOORT,11.25,"Portugal, 2021",75cl,1.50/10cl,Portugal,28,0,0,0,UNCATEGORIZED,Mid-Range,75,1.5,PT
1734709741-75,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,GLÜHWEIN HEISSER HIRSCH ROT,4.5,Deutschland,75cl,0.60/10cl,Deutschland,27,0,0,0,GLÜHWEIN,Budget,75,0.6,DE
1734709741-76,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,TOSCANA IGT BIANCO VILLA ANTINORI,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,IT
1734709741-77,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,"NATURAPLAN BIO-CRÉMANT D'ALSACE AOC WOLFBERGER, BRUT",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FR
1734709741-78,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,MÉDOC AOC CHÂTEAU LAFFITTE LAUJAC,8.95,"Frankreich, 2021",75cl,1.19/10cl,Frankreich,33,0,0,0,UNCATEGORIZED,Budget,75,1.19,FR
1734709741-79,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,VALDO PROSECCO DI VALDOBBIADENE DOCG,9.95,Italien,75cl,1.33/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,75,1.33,IT
1734709741-81,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,FREIXENET CARTA MEDIUM DRY SEMI SECO,6.95,Spanien,75cl,0.93/10cl,Spanien,36,0,0,0,SCHAUMWEIN,Budget,75,0.93,ES
1734709741-82,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,"CHAMPAGNE AOC IMPÉRIAL MOËT & CHANDON, BRUT",38.5,Frankreich,75cl,5.13/10cl,Frankreich,43,0,0,0,SCHAUMWEIN,Premium,75,5.13,FR
1734709741-83,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,BOURGOGNE AOC CHARDONNAY LOUIS JADOT,18.95,"Frankreich, 2022",75cl,2.53/10cl,Frankreich,36,0,0,0,WEISSWEIN,Mid-Range,75,2.53,FR
1734709741-84,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,VALAIS AOC ROSÉ OEIL DE PERDRIX LE ROSEL 6X  75CL,42.6,"Schweiz, 2023",6x 75cl,0.95/10cl,Schweiz,49,0,0,0,ROSÉWEIN,Premium,6,0.95,CH
1734709741-85,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,LEGARIS CRIANZA RIBERA DEL DUERO DO,25.5,"Spanien, 2021",75cl,3.40/10cl,Spanien,35,0,0,0,UNCATEGORIZED,Mid-Range,75,3.4,ES
1734709741-86,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,RIPASSO DELLA VALPOLICELLA DOC SUPERIORE VIGNE ALTE ZENI,9.85,"Italien, 2022",75cl,1.31/10cl,Italien,56,0,0,1,UNCATEGORIZED,Budget,75,1.31,IT
1734709741-87,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=18,VINO NOBILE DI MONTEPULCIANO DOCG TENUTA TREROSE,16.95,"Italien, 2020",75cl,2.26/10cl,Italien,48,0,0,0,UNCATEGORIZED,Mid-Range,75,2.26,IT
1734709745-88,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"NATURAPLAN BIO-PROSECCO DOC RAPHAEL DAL BO, EXTRA DRY",11.95,Italien,75cl,1.59/10cl,Italien,53,1,0,0,SCHAUMWEIN,Mid-Range,75,1.59,IT
1734709745-90,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,ZÜRICH AOC STAATSSCHREIBER CUVÉE BLANC PRESTIGE,12.7,"Schweiz, 2023",75cl,1.69/10cl,Schweiz,47,0,0,1,WEISSWEIN,Mid-Range,75,1.69,CH
1734709745-91,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"PROSECCO SUPERIORE DI VALDOBBIADENE CONEGLIANO DOCG CARPENÉ MALVOLTI, EXTRA DRY",10.95,Italien,75cl,1.46/10cl,Italien,79,0,0,1,SCHAUMWEIN,Mid-Range,75,1.46,IT
1734709745-92,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,AIGLE LES MURAILLES CHABLAIS AOC H. BADOUX,22.5,"Schweiz, 2023",70cl,3.21/10cl,Schweiz,42,0,0,0,UNCATEGORIZED,Mid-Range,70,3.21,CH
1734709745-93,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"CHAMPAGNE AOC CHARLES BERTIN, BRUT",19.5,Frankreich,75cl,2.60/10cl,Frankreich,34,0,0,0,SCHAUMWEIN,Mid-Range,75,2.6,FR
1734709745-94,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"PROSECCO DOC VIGNE DEI DOGI, EXTRA DRY",6.95,Italien,75cl,0.93/10cl,Italien,38,0,0,0,SCHAUMWEIN,Budget,75,0.93,IT
1734709745-95,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,ZÜRICH AOC FEDERWEISSER STAUFFACHER,9.95,"Schweiz, 2023",75cl,1.33/10cl,Schweiz,35,0,0,0,WEISSWEIN,Budget,75,1.33,CH
1734709745-96,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,BLU SECCO DOSE VINO FRIZZANTE 6X20CL,8.7,Italien,120cl,0.73/10cl,Italien,36,0,0,0,SCHAUMWEIN,Budget,120,0.73,IT
1734709745-97,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,TOSCANA IGT ROSSO VILLA ANTINORI,12.95,"Italien, 2022",75cl,1.73/10cl,Italien,32,0,0,0,ROTWEIN,Mid-Range,75,1.73,IT
1734709745-98,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,TERRE SICILIANE IGT NERO D'AVOLA BROMEUS,13.95,"Italien, 2022",75cl,1.86/10cl,Italien,40,0,0,0,ROTWEIN,Mid-Range,75,1.86,IT
1734709745-99,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,LA CÔTE AOC GRAND CRU PERROY CUVÉE 48 CAVE DE JOLIMONT 6X  70CL,41.7,"Schweiz, 2023",6x 70cl,0.99/10cl,Schweiz,63,0,0,1,UNCATEGORIZED,Premium,6,0.99,CH
1734709745-100,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,LAVAUX AOC ST-SAPHORIN LA DONJANNAZ LES TERRASSES DE LAVAUX,14.95,"Schweiz, 2023",70cl,2.14/10cl,Schweiz,59,0,0,0,UNCATEGORIZED,Mid-Range,70,2.14,CH
1734709745-101,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,ALSACE AOP GEWÜRZTRAMINER BARON DE HOEN BEBLENHEIM,7.35,"Frankreich, 2022",75cl,0.98/10cl,Frankreich,50,0,0,0,GLÜHWEIN,Budget,75,0.98,FR
1734709745-102,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,VALAIS AOC DÔLE BLANCHE LES BERNADETTES,9.3,"Schweiz, 2023",75cl,1.24/10cl,Schweiz,39,0,0,0,WEISSWEIN,Budget,75,1.24,CH
1734709745-103,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,DOURO DOC FABELHAFT NIEPOORT,11.25,"Portugal, 2021",75cl,1.50/10cl,Portugal,28,0,0,0,UNCATEGORIZED,Mid-Range,75,1.5,PT
1734709745-104,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,GLÜHWEIN HEISSER HIRSCH ROT,4.5,Deutschland,75cl,0.60/10cl,Deutschland,27,0,0,0,GLÜHWEIN,Budget,75,0.6,DE
1734709745-105,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,TOSCANA IGT BIANCO VILLA ANTINORI,12.5,"Italien, 2023",75cl,1.67/10cl,Italien,33,0,0,0,WEISSWEIN,Mid-Range,75,1.67,IT
1734709745-106,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,"NATURAPLAN BIO-CRÉMANT D'ALSACE AOC WOLFBERGER, BRUT",10.95,Frankreich,75cl,1.46/10cl,Frankreich,52,1,0,0,SCHAUMWEIN,Mid-Range,75,1.46,FR
1734709745-107,https://www.coop.ch/de/weine/alle-weine/c/m_2508pn=17,MÉDOC AOC CHÂTEAU LAFFITTE LAUJAC,8.95,"Frankreich, 2021",75cl,1.19/10cl,Frankreich,33,0,0,0,UNCATEGORIZED,Budget,75,1.19,FR
