Prepared_Wine_Name,Matched_Wine_Info_Name,Similarity_Score,ABV
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
valdo prosecco di valdobbiadene docg,"balan, prosecco di valdobbiadene",87.71929824561403,11
"champagne aoc impérial moët & chandon, brut",angel champagne brut,82.35294117647058,12
bourgogne aoc chardonnay louis jadot,"louis jadot, bourgogne chardonnay",92.7536231884058,13
legaris crianza ribera del duero do,tesco ribera del duero,84.21052631578948,13
ripasso della valpolicella doc superiore vigne alte zeni,"sartori, valpolicella superiore ripasso",86.95652173913044,13
vino nobile di montepulciano docg tenuta trerose,vino nobile di montepulciano,100.0,13
"prosecco superiore di valdobbiadene conegliano docg carpené malvolti, extra dry","sommariva, conegliano valdobbiadene prosecco superiore dry",89.52380952380952,11
"champagne aoc charles bertin, brut",angel champagne brut,82.35294117647058,12
"prosecco doc vigne dei dogi, extra dry","ruffino, prosecco extra dry",80.0,11
blu secco dose vino frizzante 6x20cl,"canei, vino frizzante rose",70.0,8
toscana igt rosso villa antinori,villa m rosso,91.66666666666667,5
terre siciliane igt nero d'avola bromeus,finest nero d'avola,77.41935483870968,13
alsace aop gewürztraminer baron de hoen beblenheim,baron de brane,72.72727272727272,13
toscana igt bianco villa antinori,villa m,83.33333333333333,5
"naturaplan bio-crémant d'alsace aoc wolfberger, brut","wolfberger, d'alsace brut",100.0,11
